compound,modifier,head,time,level,app_version
tanzlehrer,tanzen,Lehrer,2024-04-08 14:50:43.243,178,1.1.3
Gemeinschaftsinteresse,Gemeinschaft,Interesse,2024-03-26 15:34:04.904,5,1.1.0
Freundinnen,Freund,innen,2024-03-27 07:39:19.322,null,null
Mithilfe,mit,Hilfe,2024-03-12 12:13:10.916,null,null
Reiseort,Reise,Ort,2024-03-31 20:32:02.196,103,1.1.0
Beifall,bei,Fall,2024-04-05 14:10:58.213,387,1.1.1
Ansage,an,Sagen,2024-03-23 15:05:53.579,null,null
Vertragsabgabe,Vertrag,Abnahme,2024-03-25 11:25:59.454,114,1.1.0
Wohnprämie,wohnen,Prämie,2024-03-27 08:47:09.441,82,1.1.0
aufschlagen,auf,schlagen,2024-04-05 09:10:24.512,378,1.1.1
Aufstand,auf,Stand,2024-03-23 08:39:21.923,null,null
Gardeprinz,Garde,Prinz,2024-03-16 22:29:54.799,null,null
Altersheim,alt,Heim,2024-03-26 15:35:05.847,7,1.1.0
Nationalelf,national,elf,2024-03-01 15:17:20.663,null,null
Spielstraße,Spiel,Straße,2024-03-24 22:20:10.681,192,1.1.0
Schreibstil,Schreiben,Stil,2024-03-26 10:28:16.581,null,null
Flugschau,Flieger,Schau,2024-04-03 12:09:59.707,2024-04-03 12:07:43.042178,1.1.2
Sitzungsausschuss,Sitzung,Ausschuss,2024-03-23 22:39:39.170,25,1.1.0
