component_or_compound
Ackermann
Vergewaltigung
Misshandlung
Missbrauch
Vergewaltiger
Tod
tot
Nazi
Herrenrasse
Rasse
Arschloch
Hure
Bombe
Sex
sexual
anal
vaginal
Mord
Terror
Scheiße
Idiot
Penis
Vagina
Droge
Aids
Alkohol
Heroin
Kokain
Mörder
Selbstmord
Anschlag
Attentat
Krebs
Behinderte
Schwul
Terrorist
Waffe
Gewehr
Krieg
Folter
