name,modifier,head,freq_class
freeman,free,man,13.0
kidnapper,kid,napper,13.0
fisherman,fisher,man,13.0
bowman,bow,man,13.0
birthday present,birthday,present,13.0
oatmeal,oat,meal,13.0
hometown,home,town,13.0
ashtray,ash,tray,13.0
congressman,congress,man,13.0
prime minister,prime,minister,13.0
bank account,bank,account,13.0
red light,red,light,13.0
phone-in,phone,in,13.0
lie-in,lie,in,13.0
blood pressure,blood,pressure,13.0
stepmother,step,mother,13.0
madman,mad,man,13.0
emergency room,emergency,room,13.0
doughnut,dough,nut,13.0
locker room,locker,room,13.0
post office,post,office,13.0
throw-in,throw,in,13.0
flashlight,flash,light,13.0
special agent,special,agent,13.0
sidewalk,side,walk,13.0
sunlight,sun,light,13.0
moonlight,moon,light,13.0
left hand,left,hand,13.0
ten thousand,ten,thousand,13.0
bathtub,bath,tub,13.0
seat belt,seat,belt,13.0
deadline,dead,line,13.0
step-in,step,in,13.0
freak out,freak,out,13.0
break-in,break,in,13.0
time being,time,being,13.0
movie star,movie,star,13.0
landlord,land,lord,13.0
country club,country,club,13.0
first person,first,person,13.0
self-esteem,self,esteem,13.0
golf course,golf,course,13.0
coconut,coco,nut,13.0
payoff,pay,off,13.0
bookstore,books,tore,13.0
good person,good,person,13.0
kidnapper,kidnap,per,13.0
masterpiece,master,piece,13.0
daytime,day,time,13.0
cockpit,cock,pit,13.0
run-in,run,in,13.0
fireplace,fire,place,13.0
first step,first,step,13.0
underworld,under,world,13.0
jackpot,jack,pot,13.0
drug dealer,drug,dealer,13.0
conference room,conference,room,13.0
dressing room,dressing,room,13.0
fairy tale,fairy,tale,13.0
override,over,ride,13.0
sunrise,sun,rise,13.0
orange juice,orange,juice,13.0
cockroach,cock,roach,13.0
payroll,pay,roll,13.0
showtime,show,time,13.0
classroom,class,room,13.0
ballroom,ball,room,13.0
taking over,taking,over,13.0
drugstore,drugs,tore,13.0
toothpaste,tooth,paste,13.0
small town,small,town,13.0
homeland,home,land,13.0
setoff,set,off,13.0
laptop,lap,top,13.0
self-defense,self,defense,13.0
falloff,fall,off,13.0
holdout,hold,out,13.0
layout,lay,out,13.0
breakout,break,out,13.0
knockout,knock,out,13.0
blackout,black,out,13.0
wallpaper,wall,paper,13.0
fallout,fall,out,13.0
handout,hand,out,13.0
license plate,license,plate,13.0
second thought,second,thought,13.0
take-in,take,in,13.0
rollover,roll,over,13.0
handover,hand,over,13.0
hangover,hang,over,13.0
turnover,turn,over,13.0
common sense,common,sense,13.0
backpack,back,pack,13.0
ball game,ball,game,13.0
wise guy,wise,guy,13.0
northwest,north,west,13.0
full moon,full,moon,13.0
pullback,pull,back,13.0
payback,pay,back,13.0
reindeer,rein,deer,13.0
callback,call,back,13.0
fallback,fall,back,13.0
quarterback,quarter,back,13.0
bulldog,bull,dog,13.0
getaway,geta,way,13.0
touchdown,touch,down,13.0
countdown,count,down,13.0
turndown,turn,down,13.0
standdown,stand,down,13.0
throwaway,throw,away,13.0
rundown,run,down,13.0
heavyweight,heavy,weight,13.0
sundown,sun,down,13.0
hereafter,here,after,13.0
northeast,north,east,13.0
southeast,south,east,13.0
southwest,south,west,13.0
underestimate,under,estimate,13.0
granddaughter,grand,daughter,13.0
shortcut,short,cut,13.0
runway,run,way,13.0
homecoming,home,coming,13.0
mailbox,mail,box,13.0
playboy,play,boy,13.0
notebook,note,book,13.0
toothbrush,tooth,brush,13.0
phonebook,phone,book,13.0
yearbook,year,book,13.0
cheeseburger,cheese,burger,13.0
freeway,free,way,13.0
cupcake,cup,cake,13.0
pancake,pan,cake,13.0
postcard,post,card,13.0
strawberry,straw,berry,13.0
pussycat,pussy,cat,13.0
wheelchair,wheel,chair,13.0
heartbeat,heart,beat,13.0
paycheck,pay,check,13.0
database,data,base,13.0
nightclub,night,club,13.0
peacock,pea,cock,13.0
doorway,door,way,13.0
godfather,god,father,13.0
married man,married,man,13.0
gunfire,gun,fire,13.0
hundred thousand,hundred,thousand,13.0
ex-husband,ex,husband,13.0
love life,love,life,13.0
rain check,rain,check,13.0
eyewitness,eye,witness,13.0
hotshot,hots,hot,13.0
cut-in,cut,in,13.0
bachelor party,bachelor,party,13.0
werewolf,were,wolf,13.0
good deal,good,deal,13.0
old school,old,school,13.0
dance floor,dance,floor,13.0
courthouse,court,house,13.0
