compound,modifier,head,frequency_class
Abenteuerliteratur,Abenteuer,Literatur,
Abenteuerlust,Abenteuer,Lust,16.0
Abenteuerpark,Abenteuer,Park,18.0
Abenteuerreise,Abenteuer,Reise,17.0
Abenteuerroman,Abenteuer,Roman,18.0
Abenteuerromantik,Abenteuer,Romantik,
Abenteuerserie,Abenteuer,Serie,
Abenteuerspiel,Abenteuer,Spiel,19.0
Abenteuerspielplatz,Abenteuer,Spielplatz,16.0
Abenteuersport,Abenteuer,Sport,
Abenteuersuche,Abenteuer,Suche,
Abenteuertour,Abenteuer,Tour,
Abenteuertrip,Abenteuer,Trip,
Abenteuerurlaub,Abenteuer,Urlaub,19.0
Abessinierkatze,Abessinien,Katze,
Abfahrtgleis,Abfahrt,Gleis,
Abfahrtshaltestelle,Abfahrt,Haltestelle,
Abfahrtshang,Abfahrt,Hang,19.0
Abfahrtslauf,Abfahrt,Lauf,17.0
Abfahrtsort,Abfahrt,Ort,17.0
Abfahrtspiste,Abfahrt,Piste,
Abfahrtsrennen,Abfahrt,Rennen,
Abfahrtsstrecke,Abfahrt,Strecke,
Abfahrtstermin,Abfahrt,Termin,19.0
Abfahrtstraining,Abfahrt,Training,
Abfahrtsweltcup,Abfahrt,Weltcup,
Abfahrtszeit,Abfahrt,Zeit,16.0
Abfallanalyse,Abfall,Analyse,19.0
Abfallart,Abfall,Art,19.0
Abfallaufkommen,Abfall,Aufkommen,18.0
Abfallbehandlung,Abfall,Behandlung,16.0
Abfallbehandlungsanlage,Abfallbehandlung,Anlage,17.0
Abfallbehälter,Abfall,Behälter,16.0
Abfallberg,Abfall,Berg,
Abfallbeseitigung,Abfall,Beseitigung,17.0
Abfallcontainer,Abfall,Container,
Abfalldeponie,Abfall,Deponie,
Abfalleimer,Abfall,Eimer,17.0
Abfallentsorger,Abfall,Entsorger,19.0
Abfallentsorgung,Abfall,Entsorgung,14.0
Abfallentsorgungsanlage,Abfallentsorgung,Anlage,
Abfallerzeugnis,Abfall,Erzeugnis,
Abfallfrage,Abfall,Frage,
Abfallgebühr,Abfall,Gebühr,17.0
Abfallgesetz,Abfall,Gesetz,17.0
Abfallgrube,Abfall,Grube,
Abfallhalde,Abfall,Halde,
Abfallhaufen,Abfall,Haufen,
Abfallholz,Abfall,Holz,
Abfallkalender,Abfall,Kalender,19.0
Abfallkorb,Abfall,Korb,
Abfallkübel,Abfall,Kübel,
Abfallmaterial,Abfall,Material,
Abfallmenge,Abfall,Menge,19.0
Abfallpolitik,Abfall,Politik,19.0
Abfallproblem,Abfall,Problem,
Abfallprodukt,Abfall,Produkt,17.0
Abfallrecht,Abfall,Recht,16.0
Abfallreduzierung,Abfall,Reduzierung,
Abfallsack,Abfall,Sack,
Abfallsammlung,Abfall,Sammlung,17.0
Abfallstoff,Abfall,Stoff,
Abfallstrom,Abfall,Strom,
Abfallsünder,Abfall,Sünder,
Abfalltechnik,Abfall,Technik,
