compound,modifier,head,frequency_class
Baumwollindustrie,Baumwolle,Industrie,
Baumwollkleid,Baum,Wollkleid,
Baumwollpflanze,Baumwolle,Pflanze,
Baumwollpflücker,Baumwolle,Pflücker,19.0
Baumwollplantage,Baumwolle,Plantage,19.0
Baumwollpreis,Baumwolle,Preis,
Baumwollpullover,Baumwolle,Pullover,
Baumwollsamen,Baumwolle,Samen,
Baumwollsamenöl,Baumwollsamen,Öl,
Baumwollschal,Baumwolle,Schal,
Baumwollsocke,Baumwolle,Socke,
Baumwollspinnerei,Baumwolle,Spinnerei,15.0
Baumwollstoff,Baumwolle,Stoff,19.0
Baumwollstrumpf,Baumwolle,Strumpf,
Baumwolltasche,Baumwolle,Tasche,19.0
Baumwolltaschentuch,Baumwolle,Taschentuch,
Baumwolltuch,Baumwolle,Tuch,16.0
Baumwollunterwäsche,Baumwolle,Unterwäsche,
Baumwollverarbeitung,Baumwolle,Verarbeitung,
Baumwollweberei,Baumwolle,Weberei,
Baumwollwindel,Baumwolle,Windel,
Baumwuchs,Baum,Wuchs,
Baumwurzel,Baum,Wurzel,
Baumwürger,Baum,Würger,
Baumwürgergewächs,Baumwürger,Gewächs,
Baumzelt,Baum,Zelt,
Baumöglichkeit,Bau,Möglichkeit,
Baumöl,Baum,Öl,19.0
Baunebengewerbe,Bau,Nebengewerbe,18.0
Baunebenkosten,Bau,Nebenkosten,17.0
Baunummer,Bau,Nummer,
Bauobjekt,Bau,Objekt,
Bauordnung,Bau,Ordnung,14.0
Bauordnungsamt,Bau,Ordnungsamt,19.0
Bauordnungsrecht,Bauordnung,Recht,15.0
Baupartner,Bau,Partner,18.0
Bauparzelle,Bau,Parzelle,
Baupause,Bau,Pause,
Bauperiode,Bau,Periode,
Baupflicht,Bau,Pflicht,
Bauphase,Bau,Phase,14.0
Bauphysik,Bau,Physik,14.0
Bauphysiker,Bau,Physiker,19.0
Bauplan,Bau,Plan,15.0
Bauplaner,Bau,Planer,
Bauplanungsaufgabe,Bauplanung,Aufgabe,
Bauplanungsrecht,Bauplanung,Recht,16.0
Bauplastik,Bau,Plastik,
Bauplatte,Bau,Platte,
Bauplatz,Bau,Platz,16.0
Baupolitik,Bau,Politik,
Baupolizei,Bau,Polizei,
Baupraxis,Bau,Praxis,
Baupreis,Bau,Preis,19.0
Baupreisindex,Baupreis,Index,
Bauprinzip,Bau,Prinzip,19.0
Bauprodukt,Bau,Produkt,19.0
Bauprogramm,Bau,Programm,17.0
Bauprojekt,Bau,Projekt,14.0
Bauprozess,Bau,Prozess,16.0
Bauqualität,Bau,Qualität,17.0
Baurat,Bau,Rat,19.0
Bauraum,Bau,Raum,17.0
Baurecht,Bau,Recht,14.0
Baurechtsamt,Baurecht,Amt,19.0
Baureferat,Bau,Referat,18.0
Baureferent,Bau,Referent,
Baureihe,Bau,Reihe,18.0
Baureihenbezeichnung,Baureihe,Bezeichnung,
Baureihennummer,Baureihe,Nummer,
Bauressort,Bau,Ressort,
Baurest,Bau,Rest,
Baurichtlinie,Bau,Richtlinie,
Bauruine,Bau,Ruine,19.0
Bausache,bauen,Sache,
Bausachverständige,Bau,Sachverständige,
Bausachverständiger,Bau,Sachverständiger,
Bausaison,Bau,Saison,
Bausand,Bau,Sand,19.0
Bausatz,Bau,Satz,16.0
Bauschaden,Bau,Schaden,
Bauschlosser,Bau,Schlosser,
Bauschmiedearbeit,Bau,Schmiedearbeit,
Bauschmuck,Bau,Schmuck,
Bauschreinerei,Bau,Schreinerei,
Bauschuh,Bau,Schuh,
Bauschule,Bau,Schule,18.0
Bauschutt,Bau,Schutt,15.0
Bauschuttcontainer,Bauschutt,Container,
Bauschuttdeponie,Bauschutt,Deponie,19.0
Bausektor,Bau,Sektor,16.0
Bausenator,Bau,Senator,
Bauserie,Bau,Serie,
Bauskandal,Bau,Skandal,
Bausoldat,Bau,Soldat,18.0
Bauspardarlehen,bausparen,Darlehen,17.0
Bauspareinlage,bausparen,Einlage,
Bausparer,Bau,Sparer,15.0
Bausparguthaben,bausparen,Guthaben,19.0
Bausparkasse,Bau,Sparkasse,15.0
Bausparkonto,bausparen,Konto,
Bausparprämie,bausparen,Prämie,
Bausparsumme,bausparen,Summe,16.0
Bausparvertrag,bausparen,Vertrag,13.0
Bauspielplatz,Bau,Spielplatz,
Baustaatssekretär,Bau,Staatssekretär,
Baustadtrat,Bau,Stadtrat,19.0
Baustahl,Bau,Stahl,18.0
Baustandard,Bau,Standard,
Baustart,Bau,Start,17.0
Baustatik,Bau,Statik,18.0
Baustaub,Bau,Staub,19.0
Baustein,Bau,Stein,10.0
Bausteinmetz,Bau,Steinmetz,
Bausteinprinzip,Baustein,Prinzip,19.0
Baustelle,Bau,Stelle,11.0
Baustellenbereich,Baustelle,Bereich,17.0
Baustelleneinrichtung,Baustelle,Einrichtung,19.0
Baustellenfahrzeug,Baustelle,Fahrzeug,
Baustellengelände,Baustelle,Gelände,19.0
Baustellenlogistik,Baustelle,Logistik,19.0
Baustellenlärm,Baustelle,Lärm,19.0
Baustellenschild,Baustelle,Schild,
Baustellensicherung,Baustelle,Sicherung,19.0
Baustellenstau,Baustelle,Stau,
Baustellentagebuch,Baustelle,Tagebuch,
Baustellenverkehr,Baustelle,Verkehr,
Baustellenzufahrt,Baustelle,Zufahrt,
Baustil,Bau,Stil,16.0
Baustoff,Bau,Stoff,15.0
Baustoffhandel,Baustoff,Handel,17.0
Baustoffhersteller,Baustoff,Hersteller,
Baustoffhändler,Baustoff,Händler,18.0
Baustoffindustrie,Baustoff,Industrie,19.0
Baustoffkonzern,Baustoff,Konzern,
Baustoffkunde,Baustoff,Kunde,17.0
Baustoffmischung,Baustoff,Mischung,
Baustoffprüfer,Baustoff,Prüfer,19.0
Baustoffrecycling,Baustoff,Recycling,19.0
Baustopp,Bau,Stopp,19.0
Baustruktur,Bau,Struktur,
Baustufe,bauen,Stufe,18.0
Bausubstanz,Bau,Substanz,13.0
Bausumme,Bau,Summe,17.0
Bausünde,Bau,Sünde,
Bautafel,Bau,Tafel,
Bautagebuch,Bau,Tagebuch,17.0
Bauteam,Bau,Team,18.0
Bautechnik,Bau,Technik,14.0
Bautechniker,Bau,Techniker,19.0
Bautechnologie,Bau,Technologie,19.0
Bauteil,Bau,Teil,14.0
Bauteilbibliothek,Bauteil,Bibliothek,
Bautischler,Bau,Tischler,
Bautischlerei,Bau,Tischlerei,19.0
Bautradition,Bau,Tradition,17.0
Bautrupp,Bau,Trupp,
Bautruppe,Bau,Truppe,
Bauträger,Bau,Träger,14.0
Bautyp,Bau,Typ,17.0
Bautypus,Bau,Typus,
Bautätigkeit,Bau,Tätigkeit,14.0
Bauunterbrechung,Bau,Unterbrechung,
Bauuntergrund,Bau,Untergrund,
Bauunterhalt,Bau,Unterhalt,17.0
Bauunterhaltung,Bau,Unterhaltung,16.0
Bauunterlagen,Bau,Unterlagen,19.0
Bauunternehmen,Bau,Unternehmen,14.0
Bauunternehmer,Bau,Unternehmer,15.0
Bauunternehmung,Bau,Unternehmung,17.0
Bauvariante,Bau,Variante,
Bauverbot,Bau,Verbot,18.0
Bauverein,Bau,Verein,19.0
Bauverfahren,Bau,Verfahren,18.0
Bauverlauf,Bau,Verlauf,
Bauverpflichtung,Bau,Verpflichtung,
Bauvertrag,Bau,Vertrag,17.0
Bauverwaltung,Bau,Verwaltung,15.0
Bauverzögerung,Bau,Verzögerung,
Bauvolumen,Bau,Volumen,18.0
Bauvorbereitung,Bau,Vorbereitung,19.0
Bauvorbescheid,Bau,Vorbescheid,17.0
Bauvorgabe,Bau,Vorgabe,
Bauvorhaben,Bau,Vorhaben,12.0
Bauvorschrift,Bau,Vorschrift,
Bauwagen,Bau,Wagen,17.0
Bauwagenplatz,Bauwagen,Platz,19.0
Bauweise,Bau,Weise,12.0
Bauwerft,Bau,Werft,
Bauwerk,Bau,Werk,13.0
Bauwerksabdichter,Bauwerk,Abdichter,18.0
Bauwerkserstellung,Bauwerk,Erstellung,
Bauwerkssicherheit,Bauwerk,Sicherheit,
Bauwerkzeug,Bau,Werkzeug,
Bauwesen,Bau,wesen,13.0
Bauwettbewerb,Bau,Wettbewerb,19.0
Bauwirtschaft,Bau,Wirtschaft,13.0
Bauwut,Bau,Wut,
Bauzaun,Bau,Zaun,16.0
Bauzeichner,Bau,Zeichner,17.0
Bauzeichnung,Bau,Zeichnung,19.0
Bauzeit,Bau,Zeit,13.0
Bauzentrum,Bau,Zentrum,
Bauzins,Bau,Zins,19.0
Bauzone,Bau,Zone,
Bauzug,Bau,Zug,
Bauzulieferer,Bau,Zulieferer,
Bauzustand,Bau,Zustand,
Bauzweck,Bau,Zweck,
Bauüberwachung,Bau,Überwachung,17.0
Bayernherzog,Bayern,Herzog,
Bayernliga,Bayern,Liga,17.0
Bayernpartei,Bayern,Partei,19.0
Beachhandball,beach,Handball,18.0
Beachvolleyball,beach,Volleyball,15.0
Beachvolleyballplatz,Beachvolleyball,Platz,18.0
Beamtenanwärter,Beamter,Anwärter,17.0
Beamtenapparat,Beamter,Apparat,
Beamtenausbildung,Beamter,Ausbildung,
Beamtenbeleidigung,Beamter,Beleidigung,
Beamtenbesoldung,Beamter,Besoldung,
Beamtenbund,Beamter,Bund,17.0
Beamtendeutsch,Beamter,Deutsch,
Beamtendienst,Beamter,Dienst,19.0
Beamtenebene,Beamte,Ebene,
Beamtenfamilie,Beamter,Familie,
Beamtengehalt,Beamter,Gehalt,
Beamtengesetz,Beamter,Gesetz,17.0
Beamtenkarriere,Beamter,Karriere,
Beamtenlaufbahn,Beamter,Laufbahn,15.0
Beamtenpension,Beamter,Pension,
Beamtenposten,Beamter,Posten,
Beamtenrang,Beamter,Rang,
Beamtenrecht,Beamter,Recht,16.0
Beamtenrechtsrahmengesetz,Beamtenrecht,Rahmengesetz,
Beamtenstaat,Beamter,Staat,
Beamtenstand,Beamter,Stand,
Beamtenstatus,Beamter,Status,16.0
Beamtenstelle,Beamter,Stelle,
Beamtenverhältnis,Beamter,Verhältnis,12.0
Beamtenversorgung,Beamter,Versorgung,17.0
Beamtenversorgungsgesetz,Beamtenversorgung,Gesetz,16.0
Beanstandungsquote,Beanstandung,Quote,17.0
Bearbeitungsablauf,Bearbeitung,Ablauf,
Bearbeitungsart,Bearbeitung,Art,
Bearbeitungsaufwand,Bearbeitung,Aufwand,19.0
Bearbeitungsdauer,Bearbeitung,Dauer,14.0
Bearbeitungsfehler,Bearbeitung,Fehler,
Bearbeitungsfeld,Bearbeitung,Feld,
Bearbeitungsfenster,Bearbeitung,Fenster,18.0
Bearbeitungsfolge,Bearbeitung,Folge,
Bearbeitungsfrist,Bearbeitung,Frist,17.0
Bearbeitungsgebühr,Bearbeitung,Gebühr,14.0
Bearbeitungskommentar,Bearbeitung,Kommentar,
Bearbeitungskonflikt,Bearbeitung,Konflikt,
Bearbeitungskosten,Bearbeitung,Kosten,17.0
Bearbeitungsmaschine,Bearbeitung,Maschine,18.0
Bearbeitungsmodus,Bearbeitung,Modus,17.0
Bearbeitungsmöglichkeit,Bearbeitung,Möglichkeit,
Bearbeitungsparameter,Bearbeitung,Parameter,
Bearbeitungsplatz,Bearbeitung,Platz,
Bearbeitungsprozess,Bearbeitung,Prozess,17.0
Bearbeitungsschritt,Bearbeitung,Schritt,18.0
Bearbeitungsspur,Bearbeitung,Spur,
Bearbeitungsstand,Bearbeitung,Stand,15.0
Bearbeitungsstation,Bearbeitung,Station,19.0
Bearbeitungsstelle,Bearbeitung,Stelle,19.0
Bearbeitungstechnik,Bearbeitung,Technik,
Bearbeitungsverfahren,Bearbeitung,Verfahren,
Bearbeitungsvorgang,Bearbeitung,Vorgang,18.0
Bearbeitungszeichen,Bearbeitung,Zeichen,19.0
Bearbeitungszeit,Bearbeitung,Zeit,13.0
Bearbeitungszentrum,Bearbeitung,Zentrum,19.0
Beatband,Beat,Band,
Beatbewegung,Beat,Bewegung,
Beatgeneration,Beat,Generation,
Beatgruppe,Beat,Gruppe,
Beatkeller,Beat,Keller,
Beatkultur,Beat,Kultur,
Beatmungsgerät,Beatmung,Gerät,19.0
Beatmungsmaschine,Beatmung,Maschine,17.0
Beatmungsmaske,Beatmung,Maske,
Beatmungsplatz,Beatmung,Platz,
Beatmungstherapie,Beatmung,Therapie,19.0
Beatmusik,Beat,Musik,
Beaufortskala,Beaufort,Skala,
Beautybereich,beauty,Bereich,
Beautycase,beauty,Case,
Beautyfarm,beauty,Farm,
Beautygeschäft,beauty,Geschäft,
Beautysalon,beauty,Salon,
Beautyshop,beauty,Shop,
Bebauungsdichte,Bebauung,Dichte,19.0
Bebauungsgebiet,Bebauung,Gebiet,
Bebauungsgrenze,Bebauung,Grenze,
Bebauungskonzept,Bebauung,Konzept,
Bebauungsmöglichkeit,Bebauung,Möglichkeit,19.0
Bebauungsplan,Bebauung,Plan,13.0
Bebauungsplanentwurf,Bebauungsplan,Entwurf,17.0
Bebauungsplanung,Bebauung,Planung,19.0
Bebauungsplanverfahren,Bebauungsplan,Verfahren,16.0
Bebenwelle,Beben,Welle,
Bebopmusiker,Bebop,Musiker,
Becherglas,Becher,Glas,19.0
Becherrand,Becher,Rand,
Becherzelle,Becher,Zelle,
Bechsteinfledermaus,Bechstein,Fledermaus,
Beckenbereich,Becken,Bereich,15.0
Beckenboden,Becken,Boden,14.0
Beckenbodengymnastik,Beckenboden,Gymnastik,
Beckenbodenmuskulatur,Beckenboden,Muskulatur,16.0
Beckenbodentraining,Beckenboden,Training,17.0
Beckenbruch,Becken,Bruch,
Beckenendlage,Becken,Endlage,17.0
Beckengürtel,Becken,Gürtel,
Beckenkamm,Becken,Kamm,
Beckenknochen,Becken,Knochen,18.0
Beckenrand,Becken,Rand,15.0
Beckenraum,Becken,Raum,
Beckenring,Becken,Ring,
Beckenschlag,Becken,Schlag,
Beckenspieler,Becken,Spieler,
Bedarfsampel,Bedarf,Ampel,19.0
Bedarfsanalyse,Bedarf,Analyse,14.0
Bedarfsartikel,Bedarf,Artikel,
Bedarfsberechnung,Bedarf,Berechnung,19.0
Bedarfsdeckung,Bedarf,Deckung,16.0
Bedarfserhebung,Bedarf,Erhebung,17.0
Bedarfsermittlung,Bedarf,Ermittlung,15.0
Bedarfsfall,Bedarf,Fall,13.0
Bedarfsforschung,Bedarf,Forschung,
Bedarfsgegenstand,Bedarf,Gegenstand,
Bedarfsgemeinschaft,Bedarf,Gemeinschaft,17.0
Bedarfsgruppe,Bedarf,Gruppe,
Bedarfsgut,Bedarf,Gut,
Bedarfshaltestelle,Bedarf,Haltestelle,
Bedarfslage,Bedarf,Lage,17.0
Bedarfsliste,Bedarf,Liste,
Bedarfsmeldung,Bedarf,Meldung,18.0
Bedarfsplan,Bedarf,Plan,16.0
Bedarfsplanung,Bedarf,Planung,15.0
Bedarfsprüfung,Bedarf,Prüfung,18.0
Bedarfssatz,Bedarf,Satz,
Bedarfsspitze,Bedarf,Spitze,
Bedarfsträger,Bedarf,Träger,16.0
Bedarfszahl,Bedarf,Zahl,
Bedecktsamer,bedecken,Samer,
Bedenkenträger,Bedenken,Träger,17.0
Bedenkzeit,bedenken,Zeit,16.0
Bedeutungsebene,Bedeutung,Ebene,
Bedeutungserweiterung,Bedeutung,Erweiterung,
Bedeutungsfeld,Bedeutung,Feld,
Bedeutungsgehalt,Bedeutung,Gehalt,19.0
Bedeutungsgewinn,Bedeutung,Gewinn,
Bedeutungsinhalt,Bedeutung,Inhalt,
Bedeutungskomponente,Bedeutung,Komponente,
Bedeutungslehre,Bedeutung,Lehre,19.0
Bedeutungsnuance,Bedeutung,Nuance,
Bedeutungsträger,Bedeutung,Träger,
Bedeutungsumfang,Bedeutung,Umfang,
Bedeutungsunterschied,Bedeutung,Unterschied,
Bedeutungsvariante,Bedeutung,Variante,
Bedeutungsverengung,Bedeutung,Verengung,
Bedeutungsverlust,Bedeutung,Verlust,18.0
Bedeutungsverschiebung,Bedeutung,Verschiebung,
Bedeutungsvielfalt,Bedeutung,Vielfalt,18.0
Bedeutungswandel,Bedeutung,Wandel,17.0
Bedeutungswörterbuch,Bedeutung,Wörterbuch,19.0
Bedeutungszusammenhang,Bedeutung,Zusammenhang,
Bedeutungszuwachs,Bedeutung,Zuwachs,17.0
Bedieneinheit,bedienen,Einheit,
Bedienelement,bedienen,Element,16.0
Bedienerführung,Bediener,Führung,
Bedienfehler,bedienen,Fehler,19.0
Bedienfeld,bedienen,Feld,16.0
Bedienknopf,bedienen,Knopf,
Bedienkonzept,bedienen,Konzept,19.0
Bedienoberfläche,bedienen,Oberfläche,16.0
Bedienpersonal,bedienen,Personal,19.0
Bedienschritt,bedienen,Schritt,
Bedienungsanleitung,Bedienung,Anleitung,14.0
Bedienungsanweisung,Bedienung,Anweisung,
Bedienungsaufschlag,Bedienung,Aufschlag,
Bedienungselement,Bedienung,Element,
Bedienungsfachkraft,Bedienung,Fachkraft,
Bedienungsfehler,Bedienung,Fehler,17.0
Bedienungsgeld,Bedienung,Geld,19.0
Bedienungshebel,Bedienung,Hebel,
Bedienungskomfort,Bedienung,Komfort,
Bedienungspersonal,Bedienung,Personal,19.0
Bedingungsgefüge,Bedingung,Gefüge,
Bedingungssatz,Bedingung,Satz,
Bedrohungsanalyse,Bedrohung,Analyse,
Bedrohungsfall,Bedrohung,Fall,
Bedrohungsgefühl,Bedrohung,Gefühl,
Bedrohungslage,Bedrohung,Lage,15.0
Bedrohungspotenzial,Bedrohung,Potenzial,17.0
Bedrohungssituation,Bedrohung,Situation,18.0
Bedrohungsszenario,Bedrohung,Szenario,
Beduinenstamm,Beduine,Stamm,
Beduinenzelt,Beduine,Zelt,
Bedürfnisanstalt,Bedürfnis,Anstalt,
Bedürfnisbefriedigung,Bedürfnis,Befriedigung,17.0
Bedürfnislage,Bedürfnis,Lage,18.0
Bedürfnisprüfung,Bedürfnis,Prüfung,
Bedürfnispyramide,Bedürfnis,Pyramide,19.0
Bedürfnisstruktur,Bedürfnis,Struktur,
Bedürftigkeitsprüfung,Bedürftigkeit,Prüfung,19.0
Beefsteak,beef,Steak,
Beerdigungsfeier,Beerdigung,Feier,
Beerdigungsinstitut,Beerdigung,Institut,18.0
Beerdigungskosten,Beerdigung,Kosten,
Beerdigungsspruch,Beerdigung,Spruch,
Beerdigungsunternehmen,Beerdigung,Unternehmen,
Beerdigungsvers,Beerdigung,Vers,
Beerdigungszeremonie,Beerdigung,Zeremonie,19.0
Beerdigungszug,Beerdigung,Zug,
Beerenauslese,Beere,Auslese,
Beerenfrucht,Beere,Frucht,
Beerenhaut,Beere,Haut,
Beerenobst,Beere,Obst,19.0
Beerenstrauch,Beere,Strauch,
Beetpflege,Beet,Pflege,
Befangenheitsantrag,Befangenheit,Antrag,
Befehlsbereich,Befehl,Bereich,
Befehlsempfänger,Befehl,Empfänger,19.0
Befehlsfolge,Befehl,Folge,
Befehlsform,Befehl,Form,
Befehlsgeber,Befehl,Geber,
Befehlsgebung,Befehl,Gebung,
Befehlsgewalt,Befehl,Gewalt,
Befehlshaber,Befehl,Haber,17.0
Befehlskette,Befehl,Kette,
Befehlsnotstand,Befehl,Notstand,
Befehlssatz,Befehl,Satz,18.0
Befehlsstand,Befehl,Stand,
Befehlsstelle,Befehl,Stelle,19.0
Befehlsstruktur,Befehl,Struktur,19.0
Befehlston,Befehl,Ton,
Befehlsverweigerung,Befehl,Verweigerung,
Befehlszeile,Befehl,Zeile,
Befestigungsanlage,Befestigung,Anlage,18.0
Befestigungsarbeit,Befestigung,Arbeit,
Befestigungsbau,Befestigung,Bau,
Befestigungsbolzen,Befestigung,Bolzen,
Befestigungselement,Befestigung,Element,19.0
Befestigungsmauer,Befestigung,Mauer,19.0
Befestigungsring,Befestigung,Ring,
Befestigungsschraube,Befestigung,Schraube,
Befestigungssystem,Befestigung,System,19.0
Befestigungstechnik,Befestigung,Technik,17.0
Befestigungswall,Befestigung,Wall,
Befestigungswerk,Befestigung,Werk,
Befindlichkeitsstörung,Befindlichkeit,Störung,
Befragungsergebnis,Befragung,Ergebnis,
Befragungszeitraum,Befragung,Zeitraum,17.0
Befreiungsaktion,Befreiung,Aktion,
Befreiungsanspruch,Befreiung,Anspruch,
Befreiungsantrag,Befreiung,Antrag,16.0
Befreiungsarmee,Befreiung,Armee,19.0
Befreiungsbewegung,Befreiung,Bewegung,19.0
Befreiungsfront,Befreiung,Front,
Befreiungsheer,Befreiung,Heer,
Befreiungskampf,Befreiung,Kampf,
Befreiungskrieg,Befreiung,Krieg,
Befreiungskämpfer,Befreiung,Kämpfer,
Befreiungsorganisation,Befreiung,Organisation,19.0
Befreiungsprozess,Befreiung,Prozess,
Befreiungsschlag,Befreiung,Schlag,16.0
Befreiungstheologe,Befreiung,Theologe,19.0
Befreiungstheologie,Befreiung,Theologie,
Befreiungsversuch,Befreiung,Versuch,
Befunddokumentation,Befund,Dokumentation,19.0
Befundlage,Befund,Lage,19.0
Befundmeldung,Befund,Meldung,
Befähigungsnachweis,Befähigung,Nachweis,18.0
Befähigungszeugnis,Befähigung,Zeugnis,
Beförderungsauftrag,Beförderung,Auftrag,
Beförderungsbedingungen,Beförderung,Bedingungen,17.0
Beförderungsbestimmung,Beförderung,Bestimmung,
Beförderungsentgelt,Beförderung,Entgelt,17.0
Beförderungserschleichung,Beförderung,Erschleichung,
Beförderungsgebühr,Beförderung,Gebühr,
Beförderungskapazität,Beförderung,Kapazität,
Beförderungskosten,Beförderung,Kosten,18.0
Beförderungsleistung,Beförderung,Leistung,
Beförderungsmittel,Beförderung,Mittel,16.0
Beförderungsmöglichkeit,Beförderung,Möglichkeit,19.0
Beförderungspflicht,Beförderung,Pflicht,19.0
Beförderungsstelle,Beförderung,Stelle,19.0
Beförderungssteuer,Beförderung,Steuer,
Beförderungsunternehmen,Beförderung,Unternehmen,17.0
Beförderungsverbot,Beförderung,Verbot,16.0
Beförderungsvertrag,Beförderung,Vertrag,
Begabtenförderung,Begabte,Förderung,11.0
Begabtenförderungswerk,Begabtenförderung,Werk,16.0
Begabtenschule,Begabte,Schule,
Begattungsorgan,Begattung,Organ,
Begegnungsmöglichkeit,Begegnung,Möglichkeit,
Begegnungsort,Begegnung,Ort,15.0
Begegnungsprojekt,Begegnung,Projekt,19.0
Begegnungsreise,Begegnung,Reise,19.0
Begegnungsstätte,Begegnung,Stätte,13.0
Begegnungszentrum,Begegnung,Zentrum,15.0
Begeisterungssturm,Begeisterung,Sturm,
Begeisterungswelle,Begeisterung,Welle,19.0
Beglaubigungsschreiben,Beglaubigung,Schreiben,
Begleitagentur,begleiten,Agentur,
Begleitakkord,begleiten,Akkord,
Begleitausstellung,begleiten,Ausstellung,
Begleitauto,begleiten,Auto,
Begleitband,begleiten,Band,16.0
Begleitboot,begleiten,Boot,
Begleitbrief,begleiten,Brief,
Begleitbroschüre,begleiten,Broschüre,19.0
Begleitbuch,begleiten,Buch,16.0
Begleitbus,begleiten,Bus,
Begleitdokument,begleiten,Dokument,19.0
Begleiteffekt,begleiten,Effekt,
Begleiterkrankung,begleiten,Erkrankung,18.0
Begleiterscheinung,begleiten,Erscheinung,16.0
Begleitfahrzeug,begleiten,Fahrzeug,19.0
Begleitfigur,begleiten,Figur,
Begleitforschung,begleiten,Forschung,14.0
Begleitfund,begleiten,Fund,
Begleitgesang,begleiten,Gesang,
Begleitgesetz,begleiten,Gesetz,
Begleitheft,begleiten,Heft,15.0
Begleithund,begleiten,Hund,
Begleitinstrument,begleiten,Instrument,19.0
Begleitjäger,begleiten,Jäger,
Begleitmannschaft,begleiten,Mannschaft,
Begleitmaterial,begleiten,Material,15.0
Begleitmaßnahme,begleiten,Maßnahme,17.0
Begleitmusik,begleiten,Musik,19.0
Begleitmusiker,begleiten,Musiker,
Begleitpapier,begleiten,Papier,
Begleitperson,begleiten,Person,13.0
Begleitpersonal,begleiten,Personal,19.0
Begleitpflanze,begleiten,Pflanze,
Begleitprogramm,begleiten,Programm,14.0
Begleitpublikation,begleiten,Publikation,19.0
Begleitschein,begleiten,Schein,18.0
Begleitschiff,begleiten,Schiff,
Begleitschreiben,begleiten,Schreiben,16.0
Begleitschutz,begleiten,Schutz,19.0
Begleitseminar,begleiten,Seminar,17.0
Begleitservice,begleiten,Service,19.0
Begleitstern,begleiten,Stern,19.0
Begleitstimme,begleiten,Stimme,
Begleitstoff,begleiten,Stoff,
Begleitstudie,begleiten,Studie,17.0
Begleitsymptom,begleiten,Symptom,19.0
Begleittext,begleiten,Text,17.0
Begleitumstand,begleiten,Umstand,
Begleituntersuchung,begleiten,Untersuchung,
Begleitveranstaltung,begleiten,Veranstaltung,17.0
Begleitwagen,begleiten,Wagen,
Begleitwort,begleiten,Wort,
Begnadigungsgesuch,Begnadigung,Gesuch,
Begnadigungsrecht,Begnadigung,Recht,
Begrenzungsfläche,Begrenzung,Fläche,
Begrenzungslinie,Begrenzung,Linie,
Begrenzungsmauer,Begrenzung,Mauer,
Begrenzungsstein,Begrenzung,Stein,
Begrenzungssymbol,Begrenzung,Symbol,
Begriffsanalyse,Begriff,Analyse,18.0
Begriffsbestimmung,Begriff,Bestimmung,16.0
Begriffsbildung,Begriff,Bildung,
Begriffsdefinition,Begriff,Definition,16.0
Begriffsentwicklung,Begriff,Entwicklung,
Begriffserklärung,Begriff,Erklärung,18.0
Begriffsfeld,Begriff,Feld,
Begriffsfindung,Begriff,Findung,
Begriffsgeschichte,Begriff,Geschichte,19.0
Begriffsinhalt,Begriff,Inhalt,
Begriffsklärung,Begriff,Klärung,18.0
Begriffsmonopol,Begriff,Monopol,
Begriffspaar,Begriff,Paar,19.0
Begriffsprägung,Begriff,Prägung,
Begriffsschrift,Begriff,Schrift,
Begriffsschöpfung,Begriff,Schöpfung,
Begriffssystem,Begriff,System,
Begriffsumfang,Begriff,Umfang,
Begriffsunterscheidung,Begriff,Unterscheidung,
Begriffsvermögen,Begriff,Vermögen,
Begriffsverständnis,Begriff,Verständnis,18.0
Begriffsverwendung,Begriff,Verwendung,19.0
Begriffsverwirrung,Begriff,Verwirrung,
Begriffswahl,Begriff,Wahl,18.0
Begriffswelt,Begriff,Welt,19.0
Begräbnisfeier,Begräbnis,Feier,
Begräbnisfeierlichkeit,Begräbnis,Feierlichkeit,
Begräbniskapelle,Begräbnis,Kapelle,
Begräbniskosten,Begräbnis,Kosten,
Begräbnisort,Begräbnis,Ort,
Begräbnisplatz,Begräbnis,Platz,19.0
Begräbnisritual,Begräbnis,Ritual,
Begräbnisstätte,Begräbnis,Stätte,19.0
Begräbniszeremonie,Begräbnis,Zeremonie,
Begründungsfrist,Begründung,Frist,17.0
Begründungspflicht,Begründung,Pflicht,17.0
Begründungssatz,Begründung,Satz,
Begründungszusammenhang,Begründung,Zusammenhang,
Begrüßungsadresse,Begrüßung,Adresse,
Begrüßungsansprache,Begrüßung,Ansprache,18.0
Begrüßungscocktail,Begrüßung,Cocktail,18.0
Begrüßungsfeier,Begrüßung,Feier,
Begrüßungsformel,Begrüßung,Formel,
Begrüßungsgeld,Begrüßung,Geld,18.0
Begrüßungsgeschenk,Begrüßung,Geschenk,
Begrüßungsgeste,Begrüßung,Geste,
Begrüßungsgetränk,Begrüßung,Getränk,
Begrüßungskomitee,Begrüßung,Komitee,
Begrüßungskuss,Begrüßung,Kuss,
Begrüßungslied,Begrüßung,Lied,
Begrüßungsrede,Begrüßung,Rede,17.0
Begrüßungsritual,Begrüßung,Ritual,19.0
Begrüßungssekt,Begrüßung,Sekt,
Begrüßungstext,Begrüßung,Text,
Begrüßungstrunk,Begrüßung,Trunk,
Begrüßungswort,Begrüßung,Wort,
Begrüßungszeremonie,Begrüßung,Zeremonie,
Begutachtungsverfahren,Begutachtung,Verfahren,16.0
Behandlungsalternative,Behandlung,Alternative,
Behandlungsangebot,Behandlung,Angebot,17.0
