Mittelwert,Mittel,Wert
Spielerfrau,Spieler,Frau
Vorschrift,vor,Schrift
Maßnahme,Maß,Nahme
Werktag,werken,Tag
Alltag,all,Tag
Einstellung,ein,Stellung
Einnahme,ein,Nahme
Nachklang,nach,Klang
Kraftstraße,Kraft,Straße
Einzelgarage,einzeln,Garage
Vorfall,vor,Fall
Nationalelf,national,elf
Lokalwahl,Lokal,Wahl
Schlagermusik,schlagen,Musik
Sitzgruppe,sitzen,Gruppe
Werkraum,Werk,Raum
Einfall,ein,Fall
Beifall,bei,Fall
Regenwassertonne,Regenwasser,Tonne
Mithilfe,mit,Hilfe
Abschnitt,ab,Schnitt
Untergang,unter,Gang
Gardeprinz,Garde,Prinz
Polizeistreife,Polizist,Streife
Beispielsweise,Beispiel,Weise
Grundgesetz,Grund,Gesetz
Ansagen,an,Sagen
selbsthilfeforum,Selbsthilfe,Forum
anhören,an,Hören
Anbau,an,Bau
Chorklasse,Chor,Klasse
Aufstand,auf,Stand
Kunstwerk,Kunst,werken
Aufstand,auf,Stand
Aufstand,auf,Stand
Kurzschluss,kurz,Schluss
Ministeriumsausschuss,Ministerium,Ausschuss
Sprechpause,Sprecher,Pause
Regenwassertonne,Regenwasser,Tonne
Überbringer,über,Bringer
überschlagen,über,schlagen
Altenheim,alt,Heim
Aufstand,auf,Stand
Ansage,an,Sagen
Vorschlag,vor,schlagen
Aufstand,auf,Stand
Sitzungsausschuss,Sitzung,Ausschuss
Sitzplatz,sitzen,Platz
Kirchentagung,Kirche,Tagung
Sammeltstätte,sammeln,Stätte
Anführer,an,Führer
Mitgliedsrat,Mitglied,Rat
Spielstraße,Spiel,Straße
felixtest,Pracht,Entblößung
Mittelalter,Mittel,Alter
Vertragsabgabe,Vertrag,Abnahme
Bogenspannung,Bogen,Spannung
Überfall,über,Fall
Schreibstil,Schreiben,Stil
Gemeinschaftsinteresse,Gemeinschaft,Interesse
Kampftitel,Kampf,Titel
Altersheim,alt,Heim
Fischerboot,Fisch,Boot
Werkzeug,Werk,Zeug
Gleichstellung,gleich,Stellung
Vorfahrt,vor,Fahrt
Freundinnen,Freund,innen
Wohnprämie,wohnen,Prämie
Umgang,um,Gang
Zugspitze,Zug,Spitze
Dopingsperre,Doping,sperren
Vorfall,vor,Fall
Trainingslauf,Training,laufen
Fensterfarben,Fenster,Farbe
Ufergelände,Ufer,Gelände
vertribesgelände,Vertreib,Gelände
Unterhaltungsprogramm,Unterhalter,Programm
Zentralbank,Zentrale,Bank
Ausweichtraining,ausweichen,Training
Pfanddose,Pfand,Dose
Anflug,an,Flug
Kochstelle,Koch,Stelle
Kuchenboden,Kuchen,Boden
Unfallfolgen,Unfall,folgen
Eigenbestimmung,eigen,Bestimmung
Reiseort,Reise,Ort
Anprobe,an,Probe
Spielerfrau,Spieler,Frau
Mittelstation,Mittel,Station
Schlagzeug,schlagen,Zeug
Flugschau,Flieger,Schau
Aufzug,auf,Zug
aufschlagen,auf,schlagen
Beifall,bei,Fall
Chefin,Chef,in
Fernverkehr,fern,Verkehr
tanzlehrer,tanzen,Lehrer
Einfall,ein,Fall
einspringen,ein,springen
unterdruck,untere,Druck
danke,Schatz,Wort
Nachsicht,nach,Sicht
Mitfahrer,mit,Fahrer
Eingang,ein,Gang
Abstand,ab,Stand
Heimreise,Heim,Reise
Olympiafeuer,Olympia,Feuer
linkspartei,Linke,Partei
anzünden,an,zünden
Ansturm,an,Sturm
Anklageliste,Anklage,Liste
oberhalb,obere,halb
Zeigefinger,Zeig,Finger
Jugendwort,Jugend,Wort
rentenplus,Rente,Plus
schiessübung,Schießen,Übung
Mobilfunktarif,Mobilfunk,Tarif
Kameraauflösung,Kamera,Auflösung
Schulpädagoge,Schule,Pädagoge
Niederschlag,nieder,Schlag
Aufschlag,auf,Schlag
Rundfahrt,Runde,Fahrt
Kreissaal,Kreis,Saal
Osteuropa,Ost,Europa
